Ref,Experiment site,Year,Exp name,Sowing method,RANGE,ROW,REP,Variety,Nitrogen,N group,Estab (No/msq),PI DM (g/msq),PI Tillers (No/msq),PI NIR %N,PI N uptake (kg N/ha),PM DM (g/msq),Harv tillers (No/msq),HI,Quad Yield (t/ha@ 14%),Header Yield (t/ha@ 14%),Lodging (10=flat),Plant height (cm)
79,Morsehead,2015_16,Moreshead 15_16,Aerial,1,6,1,YRM70,120-60,split,198,499,753,1.85,92,2222,615,0.55,13.68,*,6,59
80,Morsehead,2015_16,Moreshead 15_16,Aerial,1,7,1,Sherpa,120-0,PW_1,179,396,710,2.32,92,2298,567,0.47,12.31,*,3,62
81,Morsehead,2015_16,Moreshead 15_16,Aerial,1,8,1,Jarrah,60-120,split 3,144,378,504,1.55,59,1967,611,0.53,11.81,*,1,57
82,Morsehead,2015_16,Moreshead 15_16,Aerial,1,9,1,Sherpa,180-0,PW_2,150,608,835,2.18,133,2114,577,0.45,10.68,*,7,62
83,Morsehead,2015_16,Moreshead 15_16,Aerial,1,10,1,Reiziq,60-120,split 3,238,374,700,1.86,69,2287,777,0.49,12.71,*,1,56
84,Morsehead,2015_16,Moreshead 15_16,Aerial,1,11,1,Sherpa,60-60,split 2,189,487,874,1.69,83,2321,627,0.49,12.72,*,5,60
85,Morsehead,2015_16,Moreshead 15_16,Aerial,1,12,1,YRM70,120-0,PW_1,254,553,802,1.81,100,2183,683,0.53,13.15,*,6,57
86,Morsehead,2015_16,Moreshead 15_16,Aerial,1,13,1,Jarrah,120-0,PW_1,149,534,646,2.09,112,2271,596,0.53,13.68,*,5,63
87,Morsehead,2015_16,Moreshead 15_16,Aerial,1,14,1,YRM70,0,zero,195,288,464,1.54,44,1523,462,0.53,9.08,*,1,54
88,Morsehead,2015_16,Moreshead 15_16,Aerial,1,15,1,Jarrah,60-60,split 2,165,527,512,1.94,102,2041,538,0.54,12.45,*,1,61
89,Morsehead,2015_16,Moreshead 15_16,Aerial,1,16,1,Reiziq,120-60,split,229,525,675,1.93,101,2233,609,0.47,11.81,*,2,58
90,Morsehead,2015_16,Moreshead 15_16,Aerial,1,17,1,Sherpa,120-60,split,214,550,673,1.96,108,2335,703,0.47,12.29,*,3,63
91,Morsehead,2015_16,Moreshead 15_16,Aerial,1,18,1,YRM70,180-0,PW_2,226,602,885,2.63,158,2324,779,0.47,12.23,*,9,64
92,Morsehead,2015_16,Moreshead 15_16,Aerial,1,19,1,Jarrah,120-60,split,189,562,605,1.98,111,2202,601,0.52,13,*,3,62
93,Morsehead,2015_16,Moreshead 15_16,Aerial,1,20,1,Jarrah,180-0,PW_2,163,514,557,2.76,142,2258,688,0.5,12.8,*,9,64
94,Morsehead,2015_16,Moreshead 15_16,Aerial,1,21,1,Reiziq,0,zero,206,198,355,1.52,30,1276,452,0.58,8.32,*,1,47
95,Morsehead,2015_16,Moreshead 15_16,Aerial,1,22,1,Reiziq,120-0,PW_1,198,505,603,2.34,118,2093,628,0.47,11.09,*,1,57
96,Morsehead,2015_16,Moreshead 15_16,Aerial,1,23,1,YRM70,60-60,split 2,171,445,710,1.96,87,2214,616,0.52,12.87,*,2,58
97,Morsehead,2015_16,Moreshead 15_16,Aerial,1,24,1,Sherpa,60-120,split 3,145,463,649,1.81,84,2174,554,0.46,11.35,*,5,63
98,Morsehead,2015_16,Moreshead 15_16,Aerial,2,1,2,Sherpa,60-120,split 3,139,362,573,1.82,66,2073,535,0.51,12.02,*,2,60
99,Morsehead,2015_16,Moreshead 15_16,Aerial,2,2,2,Jarrah,120-0,PW_1,123,479,653,2.32,111,2284,684,0.51,13.24,*,2,64
100,Morsehead,2015_16,Moreshead 15_16,Aerial,2,3,2,YRM70,180-0,PW_2,125,596,977,2.62,156,2371,704,0.46,12.35,*,7,62
101,Morsehead,2015_16,Moreshead 15_16,Aerial,2,4,2,Reiziq,120-60,split,128,355,588,2.89,103,2202,606,0.51,12.68,*,1,58
102,Morsehead,2015_16,Moreshead 15_16,Aerial,2,5,2,Reiziq,120-0,PW_1,113,433,780,2.45,106,2155,661,0.51,12.36,*,1,57
103,Morsehead,2015_16,Moreshead 15_16,Aerial,2,6,2,YRM70,0,zero,168,218,417,1.7,37,1331,429,0.58,8.64,*,1,53
104,Morsehead,2015_16,Moreshead 15_16,Aerial,2,7,2,Jarrah,120-60,split,138,428,504,2.32,99,1967,605,0.57,12.61,*,3,59
105,Morsehead,2015_16,Moreshead 15_16,Aerial,2,8,2,Sherpa,60-60,split 2,136,384,753,1.79,69,2080,497,0.5,11.82,*,1,59
106,Morsehead,2015_16,Moreshead 15_16,Aerial,2,9,2,YRM70,60-120,split 3,143,346,824,2.06,71,2032,600,0.57,13.15,*,1,59
107,Morsehead,2015_16,Moreshead 15_16,Aerial,2,10,2,Sherpa,120-60,split,155,400,745,2.34,94,2274,631,0.47,12.15,*,2,64
108,Morsehead,2015_16,Moreshead 15_16,Aerial,2,11,2,Jarrah,180-0,PW_2,164,428,764,2.78,119,1975,489,0.51,11.31,*,8,67
109,Morsehead,2015_16,Moreshead 15_16,Aerial,2,12,2,Jarrah,60-120,split 3,193,348,523,2.09,73,1935,565,0.54,11.8,*,2,58
110,Morsehead,2015_16,Moreshead 15_16,Aerial,2,13,2,Reiziq,0,zero,204,218,494,1.63,35,1515,447,0.57,9.79,*,1,49
111,Morsehead,2015_16,Moreshead 15_16,Aerial,2,14,2,YRM70,60-60,split 2,228,453,749,1.55,70,2107,630,0.52,12.45,*,1,56
112,Morsehead,2015_16,Moreshead 15_16,Aerial,2,15,2,Sherpa,120-0,PW_1,195,502,933,2.14,108,2237,726,0.49,12.37,*,3,62
113,Morsehead,2015_16,Moreshead 15_16,Aerial,2,16,2,Reiziq,180-0,PW_2,241,494,920,2.69,133,2478,740,0.42,11.85,*,2,64
114,Morsehead,2015_16,Moreshead 15_16,Aerial,2,17,2,Sherpa,180-0,PW_2,220,523,770,2.74,143,2280,794,0.43,11.09,*,6,62
115,Morsehead,2015_16,Moreshead 15_16,Aerial,2,18,2,Reiziq,60-120,split 3,260,397,747,1.88,75,2150,619,0.51,12.25,*,1,59
116,Morsehead,2015_16,Moreshead 15_16,Aerial,2,19,2,Sherpa,0,zero,215,208,539,1.74,36,1641,424,0.56,10.29,*,1,51
117,Morsehead,2015_16,Moreshead 15_16,Aerial,2,20,2,YRM70,120-0,PW_1,204,478,922,1.98,95,2188,727,0.55,13.53,*,2,59
118,Morsehead,2015_16,Moreshead 15_16,Aerial,2,21,2,Reiziq,60-60,split 2,235,334,647,2.03,68,1977,693,0.53,11.9,*,1,50
119,Morsehead,2015_16,Moreshead 15_16,Aerial,2,22,2,YRM70,120-60,split,231,510,797,2.08,106,2170,591,0.56,13.66,*,4,58
120,Morsehead,2015_16,Moreshead 15_16,Aerial,2,23,2,Jarrah,0,zero,181,194,332,1.95,38,1302,387,0.54,7.96,*,1,53
121,Morsehead,2015_16,Moreshead 15_16,Aerial,2,24,2,Jarrah,60-60,split 2,226,461,532,2.07,95,2064,572,0.54,12.63,*,1,63
122,Morsehead,2015_16,Moreshead 15_16,Aerial,3,1,3,Reiziq,60-120,split 3,180,310,667,2.43,76,2042,567,0.53,12.18,*,1,56
123,Morsehead,2015_16,Moreshead 15_16,Aerial,3,2,3,Jarrah,60-60,split 2,123,353,413,2.52,89,1962,419,0.57,12.6,*,1,59
124,Morsehead,2015_16,Moreshead 15_16,Aerial,3,3,3,Jarrah,180-0,PW_2,134,390,661,2.94,115,1925,471,0.57,12.29,*,4,64
125,Morsehead,2015_16,Moreshead 15_16,Aerial,3,4,3,YRM70,60-60,split 2,134,380,591,1.92,73,2178,565,0.53,13.02,*,1,61
126,Morsehead,2015_16,Moreshead 15_16,Aerial,3,5,3,Sherpa,120-60,split,79,382,829,2.36,90,2235,462,0.5,12.59,*,1,60
127,Morsehead,2015_16,Moreshead 15_16,Aerial,3,6,3,Reiziq,0,zero,193,189,391,1.87,35,1361,390,0.55,8.43,*,1,45
128,Morsehead,2015_16,Moreshead 15_16,Aerial,3,7,3,YRM70,120-0,PW_1,191,385,800,2.45,94,2158,606,0.56,13.58,*,1,62
129,Morsehead,2015_16,Moreshead 15_16,Aerial,3,8,3,Sherpa,180-0,PW_2,114,447,757,3.03,136,2205,662,0.47,11.78,*,4,67
130,Morsehead,2015_16,Moreshead 15_16,Aerial,3,9,3,Jarrah,120-60,split,144,292,624,3.52,103,2159,543,0.56,13.52,*,4,65
131,Morsehead,2015_16,Moreshead 15_16,Aerial,3,10,3,YRM70,120-60,split,154,351,680,2.78,97,2092,600,0.51,12.11,*,5,62
132,Morsehead,2015_16,Moreshead 15_16,Aerial,3,11,3,Sherpa,60-120,split 3,118,291,670,2.67,78,2240,430,0.47,11.99,*,3,59
133,Morsehead,2015_16,Moreshead 15_16,Aerial,3,12,3,YRM70,180-0,PW_2,174,490,982,3,147,2034,524,0.48,11.06,*,7,64
134,Morsehead,2015_16,Moreshead 15_16,Aerial,3,13,3,Sherpa,0,zero,114,218,472,1.81,39,1608,390,0.57,10.29,*,1,53
135,Morsehead,2015_16,Moreshead 15_16,Aerial,3,14,3,Reiziq,60-60,split 2,176,317,635,2.4,76,2056,624,0.52,12.05,*,1,54
136,Morsehead,2015_16,Moreshead 15_16,Aerial,3,15,3,Reiziq,120-0,PW_1,168,441,691,2.68,118,2447,684,0.47,12.95,*,1,60
137,Morsehead,2015_16,Moreshead 15_16,Aerial,3,16,3,Jarrah,0,zero,124,246,403,1.9,47,1332,369,0.54,8.05,*,1,55
138,Morsehead,2015_16,Moreshead 15_16,Aerial,3,17,3,Reiziq,120-60,split,165,405,792,2.91,118,2207,631,0.48,11.99,*,1,61
139,Morsehead,2015_16,Moreshead 15_16,Aerial,3,18,3,YRM70,60-120,split 3,154,363,713,2.01,73,2202,686,0.56,13.83,*,1,57
140,Morsehead,2015_16,Moreshead 15_16,Aerial,3,19,3,Jarrah,60-120,split 3,90,*,*,*,*,*,*,*,*,*,*,*
141,Morsehead,2015_16,Moreshead 15_16,Aerial,3,20,3,YRM70,0,zero,160,252,469,1.79,45,1528,503,0.54,9.31,*,1,56
142,Morsehead,2015_16,Moreshead 15_16,Aerial,3,21,3,Sherpa,120-0,PW_1,130,476,879,2.29,109,2280,562,0.47,12.02,*,1,64
143,Morsehead,2015_16,Moreshead 15_16,Aerial,3,22,3,Sherpa,60-60,split 2,114,362,709,2.11,77,2237,517,0.49,12.41,*,2,56
144,Morsehead,2015_16,Moreshead 15_16,Aerial,3,23,3,Jarrah,120-0,PW_1,138,266,461,3.62,96,2035,525,0.52,11.96,*,2,65
145,Morsehead,2015_16,Moreshead 15_16,Aerial,3,24,3,Reiziq,180-0,PW_2,153,534,821,2.96,158,2331,745,0.44,11.5,*,5,63
147,Williams,2015_16,Williams 15_16,Aerial,1,1,1,Topaz,60-120,split 3,280,649,1279,1.64,107,2432,353,0.45,12.38,*,*,*
148,Williams,2015_16,Williams 15_16,Aerial,1,2,1,Doongara,120-60,split,304,623,1021,1.56,97,2719,403,0.43,13.23,10.87,*,51
149,Williams,2015_16,Williams 15_16,Aerial,1,3,1,YRL127,0,zero,204,571,1232,1.21,69,2199,384,0.41,10.25,8.31,*,53
150,Williams,2015_16,Williams 15_16,Aerial,1,4,1,Doongara,180-0,PW_2,276,654,1257,1.85,121,2535,335,0.41,11.84,10.1,*,51
151,Williams,2015_16,Williams 15_16,Aerial,1,5,1,Langi,120-0,PW_1,232,667,1152,1.78,119,2302,323,0.47,12.2,11.25,*,62
152,Williams,2015_16,Williams 15_16,Aerial,1,6,1,Langi,60-60,split 2,224,575,1073,1.33,76,2160,383,0.5,12.17,12.62,*,60
153,Williams,2015_16,Williams 15_16,Aerial,1,7,1,Topaz,60-60,split 2,248,562,1472,1.64,92,2380,373,0.48,12.81,10.52,*,54
154,Williams,2015_16,Williams 15_16,Aerial,1,8,1,YRL127,60-120,split 3,242,643,1325,1.12,72,2678,451,0.41,12.43,9.98,*,54
155,Williams,2015_16,Williams 15_16,Aerial,1,9,1,Langi,60-120,split 3,324,562,1034,1.26,71,2702,482,0.43,13.04,12.7,*,61
156,Williams,2015_16,Williams 15_16,Aerial,1,10,1,YRL127,120-60,split,264,663,1318,1.53,101,2733,394,0.42,12.93,10.83,*,56
157,Williams,2015_16,Williams 15_16,Aerial,1,11,1,Topaz,0,zero,240,650,1480,1.46,95,1843,291,0.48,9.89,9.12,*,53
158,Williams,2015_16,Williams 15_16,Aerial,1,12,1,Topaz,120-0,PW_1,272,649,1681,1.66,108,2123,311,0.46,11.13,10.3,*,54
159,Williams,2015_16,Williams 15_16,Aerial,1,13,1,Langi,120-60,split,226,711,1343,1.79,127,2295,309,0.49,12.76,11.89,*,62
160,Williams,2015_16,Williams 15_16,Aerial,1,14,1,Doongara,60-60,split 2,352,580,1105,1.38,80,2364,381,0.47,12.55,10.28,*,50
161,Williams,2015_16,Williams 15_16,Aerial,1,15,1,YRL127,180-0,PW_2,292,643,1647,1.89,122,2198,287,0.45,11.12,10.17,*,55
162,Williams,2015_16,Williams 15_16,Aerial,1,16,1,Doongara,0,zero,244,493,989,1.2,59,1837,338,0.48,10,9.67,*,48
163,Williams,2015_16,Williams 15_16,Aerial,1,17,1,Langi,180-0,PW_2,252,782,1532,1.63,128,2381,315,0.49,13.07,11.98,*,*
164,Williams,2015_16,Williams 15_16,Aerial,1,18,1,Topaz,180-0,PW_2,258,655,1595,1.92,126,2103,278,0.47,11.09,9.98,*,55
165,Williams,2015_16,Williams 15_16,Aerial,1,19,1,Topaz,120-60,split,260,606,1697,1.64,99,2313,347,0.48,12.5,10.84,*,51
166,Williams,2015_16,Williams 15_16,Aerial,1,20,1,YRL127,60-60,split 2,348,645,1433,1.58,102,2245,328,0.46,11.63,9.8,*,54
167,Williams,2015_16,Williams 15_16,Aerial,1,21,1,Doongara,120-0,PW_1,284,627,1170,1.51,95,2060,313,0.47,10.97,9.94,*,51
