Ref,Experiment site,Year,Exp name,Sowing method,RANGE,ROW,REP,Variety,Nitrogen,N group,Estab (No/msq),PI DM (g/msq),PI Tillers (No/msq),PI NIR %N,PI N uptake (kg N/ha),PM DM (g/msq),Harv tillers (No/msq),HI,Quad Yield (t/ha@ 14%),Header Yield (t/ha@ 14%),Lodging (10=flat),Plant height (cm)
927,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,2,2,Koshi,90-0,PW_1,163,551,817,2.17,119,2142,641,0.39,9.32,6.84,1,96
928,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,3,2,YDP,90-0,PW_1,343,348,759,2.05,71,1625,542,0.4,7.3,7.75,1,61
929,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,4,2,Opus,90-0,PW_1,193,594,872,1.74,103,2096,596,0.46,10.81,9.44,1,81
930,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,5,2,Koshi,0,zero,139,326,511,1.37,45,1477,551,0.43,7.21,6.07,1,77
931,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,6,2,YRM70,150-0,PW_2,325,501,877,2.36,118,2118,753,0.5,12.03,10.42,2,82
932,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,7,2,Reiziq,0,zero,170,362,420,0.98,35,1212,467,0.46,6.26,7.71,1,67
933,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,8,2,YDP,0,zero,312,158,447,1.53,24,901,437,0.42,4.25,5.49,1,44
934,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,9,2,Reiziq,150-0,PW_2,160,672,741,1.7,114,2453,602,0.42,11.68,12.55,1,87
935,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,10,2,Opus,90-60,split,175,501,751,1.62,81,2267,571,0.47,12.13,10.76,1,84
936,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,11,2,YRK5,90-60,split,339,492,831,1.76,87,2170,759,0.45,11.13,11.09,4,90
937,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,12,2,YRM70,0,zero,298,218,714,1.33,29,*,*,*,*,*,1,*
938,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,13,2,Koshi,90-60,split,170,550,718,2.01,110,2188,620,0.41,10.19,7.09,2,97
939,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,14,2,YRM70,90-60,split,287,421,1007,2.01,85,2028,709,0.51,11.74,10.69,1,78
940,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,15,2,Opus,150-0,PW_2,178,602,749,2.15,130,2227,739,0.48,11.95,10.59,2,82
941,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,16,2,Reiziq,90-0,PW_1,197,578,632,1.56,90,1992,533,0.47,10.64,11.48,1,82
942,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,17,2,YRM70,90-0,PW_1,322,450,872,2.05,92,1996,668,0.52,11.6,8.99,1,75
943,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,18,2,YDP,90-60,split,326,339,950,1.98,67,1894,663,0.39,8.24,8.96,1,65
944,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,19,2,YRK5,150-0,PW_2,341,543,949,2.45,133,2148,763,0.42,10.07,9.44,6,95
945,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,20,2,Opus,0,zero,186,307,554,1.28,39,1278,453,0.49,7.12,6.35,1,68
946,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,21,2,YDP,150-0,PW_2,315,511,939,2.45,125,1869,594,0.39,8.32,8.74,1,64
947,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,22,2,Reiziq,90-60,split,217,565,658,1.75,99,2017,590,0.49,11.13,12.02,1,81
948,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,23,2,Koshi,150-0,PW_2,138,552,1108,2.58,142,2370,803,0.4,10.58,6.08,3,100
949,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,2,24,2,YRK5,0,zero,354,199,635,1.21,24,*,*,*,*,*,1,*
950,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,1,3,YDP,90-60,split,305,487,817,2.07,101,1992,635,0.39,8.75,8.22,1,61
951,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,2,3,Opus,0,zero,295,542,790,1.2,65,1598,623,0.45,8.12,5.67,1,69
952,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,3,3,YRK5,0,zero,346,297,632,1.42,42,1403,724,0.45,7.11,4.63,1,68
953,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,4,3,Koshi,150-0,PW_2,163,737,1093,2.5,184,2171,630,0.38,9.25,6.09,3,102
954,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,5,3,Reiziq,150-0,PW_2,174,698,741,2.18,152,2403,554,0.44,11.87,11.6,1,88
955,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,6,3,YRM70,150-0,PW_2,336,510,964,2.7,138,2136,711,0.48,11.58,10.96,1,85
956,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,7,3,Opus,150-0,PW_2,188,646,1079,2.53,164,2585,797,0.44,12.82,9.15,1,85
957,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,8,3,YRM70,90-0,PW_1,328,455,1090,1.79,82,1983,664,0.51,11.44,9.48,1,82
958,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,9,3,Reiziq,90-60,split,154,648,777,1.98,128,2110,556,0.48,11.37,12.48,1,82
959,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,10,3,Koshi,90-60,split,131,522,605,1.81,94,2221,654,0.43,10.71,6.8,3,96
960,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,11,3,YDP,90-0,PW_1,305,403,852,2.12,86,1750,596,0.39,7.66,8.51,1,85
961,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,12,3,YRK5,90-60,split,321,530,906,1.88,100,1991,727,0.49,11.03,10.24,2,90
962,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,13,3,Koshi,0,zero,137,346,686,1.6,55,1391,460,0.42,6.63,4.81,1,77
963,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,14,3,YRK5,90-0,PW_1,262,502,848,2.29,115,1859,679,0.47,9.91,8.32,1,88
964,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,15,3,Opus,90-60,split,231,644,852,1.76,113,2025,588,0.47,10.83,9.51,2,83
965,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,16,3,Reiziq,90-0,PW_1,173,618,672,1.62,100,1960,506,0.47,10.3,10.88,1,83
966,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,17,3,YRM70,90-60,split,323,444,952,2.02,90,1835,668,0.52,10.87,10.24,1,78
967,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,18,3,YDP,0,zero,378,264,739,1.67,44,946,357,0.44,4.7,5.9,1,51
968,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,19,3,YRM70,0,zero,358,321,760,1.19,38,*,*,*,*,*,1,*
969,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,20,3,Reiziq,0,zero,192,384,497,1.27,49,1202,419,0.47,6.35,5.22,1,65
970,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,21,3,YRK5,150-0,PW_2,307,536,1007,2.68,144,2107,833,0.42,10.03,9.43,7,91
971,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,22,3,Koshi,90-0,PW_1,159,577,707,1.7,98,2128,636,0.42,10,5.47,1,85
972,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,23,3,Opus,90-0,PW_1,172,500,827,1.57,78,1921,542,0.46,10.05,9.77,1,77
973,RRAPL_drill,2017_18,RRAPL Drill 17_18,Drill,3,24,3,YDP,150-0,PW_2,297,525,954,2.41,126,1910,564,0.39,8.5,9.9,1,61
974,Hand ,2018_19,Hand Drill 18_19,Drill,1,1,1,Koshi,60-60,split,258,348,774,1.57,55,2409,867,0.41,11.18,*,3,92
975,Hand ,2018_19,Hand Drill 18_19,Drill,1,2,1,VO38,60-0,PW_1,243,414,900,1.86,77,1959,663,0.47,10.47,*,1,68
976,Hand ,2018_19,Hand Drill 18_19,Drill,1,3,1,VO38,60-60,split,235,397,1285,1.63,65,2282,733,0.5,12.8,*,1,76
977,Hand ,2018_19,Hand Drill 18_19,Drill,1,4,1,VO37,60-60,split,278,439,976,1.79,79,2314,755,0.47,12.18,*,1,80
978,Hand ,2018_19,Hand Drill 18_19,Drill,1,5,1,Reiziq,60-0,PW_1,258,410,949,1.74,71,1986,681,0.43,9.65,*,1,78
979,Hand ,2018_19,Hand Drill 18_19,Drill,1,6,1,Reiziq,120-0,PW_2,295,532,1073,1.99,106,2366,720,0.42,11.27,*,1,84
980,Hand ,2018_19,Hand Drill 18_19,Drill,1,7,1,Koshi,60-0,PW_1,260,369,836,1.82,67,2088,778,0.36,8.55,*,1,88
981,Hand ,2018_19,Hand Drill 18_19,Drill,1,8,1,YDP44,60-60,split,250,359,937,1.83,66,1966,536,0.46,10.19,*,1,71
982,Hand ,2018_19,Hand Drill 18_19,Drill,1,9,1,Opus,0,zero,198,266,804,1.41,37,1335,437,0.39,5.92,*,1,74
983,Hand ,2018_19,Hand Drill 18_19,Drill,1,10,1,YDP44,120-0,PW_2,238,456,1038,2.17,99,2126,622,0.44,10.47,*,1,69
984,Hand ,2018_19,Hand Drill 18_19,Drill,1,11,1,Opus,60-60,split,208,407,932,1.55,63,2294,689,0.41,10.66,*,1,83
985,Hand ,2018_19,Hand Drill 18_19,Drill,1,12,1,Opus,120-0,PW_2,178,480,1048,2.37,114,2346,694,0.39,10.26,*,1,81
986,Hand ,2018_19,Hand Drill 18_19,Drill,1,13,1,Opus,60-0,PW_1,263,443,936,1.72,76,2210,763,0.37,9.33,*,1,87
987,Hand ,2018_19,Hand Drill 18_19,Drill,1,14,1,VO37,120-0,PW_2,238,540,1630,2.43,131,2086,661,0.45,10.54,*,1,82
988,Hand ,2018_19,Hand Drill 18_19,Drill,1,15,1,YDP44,0,zero,295,236,750,1.66,39,1443,454,0.43,6.94,*,1,65
989,Hand ,2018_19,Hand Drill 18_19,Drill,1,16,1,VO37,0,zero,243,287,1286,1.37,39,1366,509,0.41,6.36,*,1,75
990,Hand ,2018_19,Hand Drill 18_19,Drill,1,17,1,Reiziq,60-60,split,305,437,1156,1.82,79,2428,650,0.45,12.24,*,1,86
991,Hand ,2018_19,Hand Drill 18_19,Drill,1,18,1,Koshi,0,zero,263,309,949,1.54,48,1706,731,0.38,7.39,*,1,83
992,Hand ,2018_19,Hand Drill 18_19,Drill,1,19,1,Koshi,120-0,PW_2,258,555,1224,2.11,117,2444,881,0.37,10.23,*,5,94
993,Hand ,2018_19,Hand Drill 18_19,Drill,1,20,1,YDP44,60-0,PW_1,270,394,722,1.79,71,1932,536,0.42,9.06,*,1,65
994,Hand ,2018_19,Hand Drill 18_19,Drill,1,21,1,VO37,60-0,PW_1,285,390,1435,1.86,73,1988,636,0.43,9.58,*,1,77
995,Hand ,2018_19,Hand Drill 18_19,Drill,1,22,1,VO38,0,zero,310,348,852,1.51,52,1824,710,0.44,9.14,*,1,75
996,Hand ,2018_19,Hand Drill 18_19,Drill,1,23,1,Reiziq,0,zero,303,320,716,1.47,47,1653,747,0.44,8.26,*,1,75
997,Hand ,2018_19,Hand Drill 18_19,Drill,1,24,1,VO38,120-0,PW_2,260,547,1197,2.03,111,2538,683,0.46,13.1,*,1,79
998,Hand ,2018_19,Hand Drill 18_19,Drill,2,1,2,VO37,120-0,PW_2,320,483,1140,2.04,99,2438,829,0.44,12.1,*,1,80
999,Hand ,2018_19,Hand Drill 18_19,Drill,2,2,2,VO38,120-0,PW_2,268,522,1672,2.02,105,2441,746,0.46,12.59,*,1,80
1000,Hand ,2018_19,Hand Drill 18_19,Drill,2,3,2,Opus,0,zero,210,287,1060,1.18,34,1401,588,0.38,5.94,*,1,70
1001,Hand ,2018_19,Hand Drill 18_19,Drill,2,4,2,Koshi,120-0,PW_2,228,551,1068,2.26,125,2259,745,0.38,9.69,*,3,94
1002,Hand ,2018_19,Hand Drill 18_19,Drill,2,5,2,YDP44,0,zero,255,270,643,1.38,37,1301,463,0.4,5.84,*,1,64
1003,Hand ,2018_19,Hand Drill 18_19,Drill,2,6,2,VO37,60-0,PW_1,228,475,1352,1.55,74,2074,620,0.45,10.52,*,1,77
1004,Hand ,2018_19,Hand Drill 18_19,Drill,2,7,2,Opus,60-60,split,208,402,1034,1.91,77,2219,741,0.44,11.1,*,1,74
1005,Hand ,2018_19,Hand Drill 18_19,Drill,2,8,2,Reiziq,60-60,split,278,435,1005,1.61,70,2328,691,0.44,11.46,*,1,85
1006,Hand ,2018_19,Hand Drill 18_19,Drill,2,9,2,VO38,0,zero,315,341,1180,1.46,50,1618,651,0.42,7.71,*,1,73
1007,Hand ,2018_19,Hand Drill 18_19,Drill,2,10,2,Koshi,60-0,PW_1,253,452,1510,1.63,74,2134,758,0.38,9.23,*,1,88
1008,Hand ,2018_19,Hand Drill 18_19,Drill,2,11,2,Reiziq,0,zero,280,343,1014,1.32,45,1542,626,0.42,7.37,*,1,74
1009,Hand ,2018_19,Hand Drill 18_19,Drill,2,12,2,YDP44,60-60,split,305,435,1176,1.82,79,2131,524,0.46,11.16,*,1,67
1010,Hand ,2018_19,Hand Drill 18_19,Drill,2,13,2,YDP44,60-0,PW_1,288,386,722,1.92,74,1822,528,0.46,9.36,*,1,61
1011,Hand ,2018_19,Hand Drill 18_19,Drill,2,14,2,VO38,60-0,PW_1,230,411,1568,2.13,88,2427,868,0.47,12.78,*,1,77
1012,Hand ,2018_19,Hand Drill 18_19,Drill,2,15,2,Koshi,0,zero,253,318,1193,1.46,46,1618,589,0.42,7.71,*,1,83
1013,Hand ,2018_19,Hand Drill 18_19,Drill,2,16,2,Reiziq,60-0,PW_1,260,455,1219,1.61,73,2558,763,0.45,12.99,*,1,81
1014,Hand ,2018_19,Hand Drill 18_19,Drill,2,17,2,VO38,60-60,split,300,436,1228,1.97,86,2494,672,0.48,13.64,*,1,83
1015,Hand ,2018_19,Hand Drill 18_19,Drill,2,18,2,VO37,0,zero,265,337,1127,1.35,46,1807,628,0.42,8.57,*,1,78
1016,Hand ,2018_19,Hand Drill 18_19,Drill,2,19,2,YDP44,120-0,PW_2,280,482,1116,2.37,114,2248,551,0.46,11.54,*,1,68
1017,Hand ,2018_19,Hand Drill 18_19,Drill,2,20,2,VO37,60-60,split,250,454,1028,1.71,78,2451,669,0.48,13.17,*,1,88
1018,Hand ,2018_19,Hand Drill 18_19,Drill,2,21,2,Opus,60-0,PW_1,213,440,1202,1.82,80,2394,732,0.4,10.86,*,1,78
1019,Hand ,2018_19,Hand Drill 18_19,Drill,2,22,2,Reiziq,120-0,PW_2,248,573,1283,2.36,135,2471,699,0.43,12.05,*,1,81
1020,Hand ,2018_19,Hand Drill 18_19,Drill,2,23,2,Opus,120-0,PW_2,220,588,1377,2.32,136,2545,799,0.39,11.25,*,1,82
1021,Hand ,2018_19,Hand Drill 18_19,Drill,2,24,2,Koshi,60-60,split,225,453,1548,1.84,83,2476,881,0.42,11.63,*,6,89
1022,Hand ,2018_19,Hand Drill 18_19,Drill,3,1,3,YDP44,60-0,PW_1,268,405,1369,1.73,70,1822,513,0.46,9.47,*,1,65
1023,Hand ,2018_19,Hand Drill 18_19,Drill,3,2,3,VO37,0,zero,298,284,875,1.29,36,1556,599,0.45,7.87,*,1,75
1024,Hand ,2018_19,Hand Drill 18_19,Drill,3,3,3,Opus,120-0,PW_2,220,468,1052,2.02,95,2384,770,0.39,10.5,*,1,83
1025,Hand ,2018_19,Hand Drill 18_19,Drill,3,4,3,VO38,0,zero,273,266,783,1.56,41,1498,575,0.45,7.66,*,1,71
1026,Hand ,2018_19,Hand Drill 18_19,Drill,3,5,3,Opus,60-0,PW_1,273,423,1193,1.78,75,2079,750,0.39,9.25,*,1,77
1027,Hand ,2018_19,Hand Drill 18_19,Drill,3,6,3,Reiziq,0,zero,233,312,844,1.46,46,1620,631,0.42,7.69,*,1,73
1028,Hand ,2018_19,Hand Drill 18_19,Drill,3,7,3,Koshi,0,zero,275,247,830,1.35,33,1547,585,0.36,6.35,*,1,80
1029,Hand ,2018_19,Hand Drill 18_19,Drill,3,8,3,YDP44,120-0,PW_2,285,479,1268,2.05,98,2292,675,0.43,11.23,*,1,64
1030,Hand ,2018_19,Hand Drill 18_19,Drill,3,9,3,Reiziq,60-60,split,278,437,1040,1.71,75,2274,605,0.45,11.65,*,1,86
1031,Hand ,2018_19,Hand Drill 18_19,Drill,3,10,3,VO37,60-0,PW_1,315,460,962,1.91,88,2412,843,0.45,12.25,*,1,87
1032,Hand ,2018_19,Hand Drill 18_19,Drill,3,11,3,Koshi,60-60,split,275,444,1150,1.92,85,2532,968,0.41,11.75,*,3,97
1033,Hand ,2018_19,Hand Drill 18_19,Drill,3,12,3,VO37,60-60,split,215,447,1084,1.87,84,2603,684,0.45,13.32,*,1,83
1034,Hand ,2018_19,Hand Drill 18_19,Drill,3,13,3,VO38,120-0,PW_2,260,561,1190,2.37,133,2592,745,0.46,13.56,*,1,76
1035,Hand ,2018_19,Hand Drill 18_19,Drill,3,14,3,Reiziq,120-0,PW_2,295,541,1011,2.23,121,2667,820,0.41,12.26,*,1,78
1036,Hand ,2018_19,Hand Drill 18_19,Drill,3,15,3,VO38,60-60,split,278,454,962,1.85,84,2621,805,0.45,13.4,*,1,73
1037,Hand ,2018_19,Hand Drill 18_19,Drill,3,16,3,Koshi,120-0,PW_2,238,510,1408,2.24,114,2436,762,0.38,10.43,*,5,93
1038,Hand ,2018_19,Hand Drill 18_19,Drill,3,17,3,Reiziq,60-0,PW_1,335,519,1178,1.88,98,2508,802,0.42,11.94,*,1,78
1039,Hand ,2018_19,Hand Drill 18_19,Drill,3,18,3,Opus,0,zero,298,265,718,1.55,41,1766,648,0.39,7.82,*,1,74
1040,Hand ,2018_19,Hand Drill 18_19,Drill,3,19,3,VO37,120-0,PW_2,303,544,1433,2.71,147,2869,713,0.42,13.67,*,1,78
1041,Hand ,2018_19,Hand Drill 18_19,Drill,3,20,3,Opus,60-60,split,270,395,1231,1.92,76,2635,790,0.43,12.68,*,1,84
1042,Hand ,2018_19,Hand Drill 18_19,Drill,3,21,3,YDP44,60-60,split,288,445,1153,2.21,98,2254,598,0.44,11.26,*,1,68
1043,Hand ,2018_19,Hand Drill 18_19,Drill,3,22,3,YDP44,0,zero,323,414,733,2.07,86,1887,517,0.43,9.1,*,1,69
1044,Hand ,2018_19,Hand Drill 18_19,Drill,3,23,3,VO38,60-0,PW_1,250,559,1232,2.47,138,2643,744,0.44,13.08,*,1,79
1045,Hand ,2018_19,Hand Drill 18_19,Drill,3,24,3,Koshi,60-0,PW_1,270,489,1212,2.12,103,2454,811,0.39,10.67,*,2,94
1046,Morona,2018_19,Morona Drill 18_19,Drill,1,1,1,VO38,90-0,PW_1,188,466,806,1.97,92,2150,666,0.47,11.31,9.89,1,75
1047,Morona,2018_19,Morona Drill 18_19,Drill,1,2,1,YDP44,90-60,split,215,481,1258,2.37,114,2049,596,0.43,9.91,7.96,1,59
1048,Morona,2018_19,Morona Drill 18_19,Drill,1,3,1,Reiziq,150-0,PW_2,216,604,1422,2.35,142,2243,665,0.42,10.72,10.58,1,83
1049,Morona,2018_19,Morona Drill 18_19,Drill,1,4,1,Viand,90-60,split,186,548,724,2.05,112,2224,716,0.53,13.31,11.17,8,92
1050,Morona,2018_19,Morona Drill 18_19,Drill,1,5,1,Sherpa,90-0,PW_1,146,517,1413,2.05,106,2426,674,0.48,13.02,12.57,1,82
1051,Morona,2018_19,Morona Drill 18_19,Drill,1,6,1,VO37,0,zero,194,206,664,1.43,30,1409,435,0.48,7.66,7.32,1,70
1052,Morona,2018_19,Morona Drill 18_19,Drill,1,7,1,VO37,90-0,PW_1,216,517,872,1.95,101,2514,736,0.46,12.94,10.98,1,78
1053,Morona,2018_19,Morona Drill 18_19,Drill,1,8,1,VO38,150-0,PW_2,181,519,948,2.53,131,2579,698,0.46,13.42,11.92,1,82
1054,Morona,2018_19,Morona Drill 18_19,Drill,1,9,1,VO38,0,zero,208,191,515,1.42,27,1448,504,0.5,8.18,7.17,1,72
1055,Morona,2018_19,Morona Drill 18_19,Drill,1,10,1,YDP44,150-0,PW_2,211,546,804,2.15,117,2139,605,0.41,9.89,8.96,1,*
1056,Morona,2018_19,Morona Drill 18_19,Drill,1,11,1,Reiziq,90-0,PW_1,194,489,693,1.56,76,2121,669,0.46,10.92,10.79,1,76
1057,Morona,2018_19,Morona Drill 18_19,Drill,1,12,1,Sherpa,0,zero,113,207,420,1.43,30,1426,393,0.47,7.53,8.25,1,76
1058,Morona,2018_19,Morona Drill 18_19,Drill,1,13,1,YDP44,0,zero,198,172,330,1.51,26,1266,345,0.36,5.18,5.86,1,58
1059,Morona,2018_19,Morona Drill 18_19,Drill,1,14,1,VO37,90-60,split,211,458,591,1.94,89,2379,669,0.46,12.36,12.05,1,82
1060,Morona,2018_19,Morona Drill 18_19,Drill,1,15,1,Viand,150-0,PW_2,181,628,809,2.13,134,2258,687,0.49,12.4,9.67,2,93
1061,Morona,2018_19,Morona Drill 18_19,Drill,1,16,1,Reiziq,90-60,split,215,551,691,1.82,100,2345,718,0.48,12.62,11.44,1,*
1062,Morona,2018_19,Morona Drill 18_19,Drill,1,17,1,Viand,0,zero,196,265,685,1.33,35,*,*,*,*,*,1,*
1063,Morona,2018_19,Morona Drill 18_19,Drill,1,18,1,Viand,90-0,PW_1,218,564,696,1.7,96,2057,644,0.48,11.11,10.84,3,90
1064,Morona,2018_19,Morona Drill 18_19,Drill,1,19,1,YDP44,90-0,PW_1,214,443,1017,2.05,91,2102,655,0.42,9.9,8.37,1,63
1065,Morona,2018_19,Morona Drill 18_19,Drill,1,20,1,VO37,150-0,PW_2,230,584,1022,2.28,133,2480,763,0.42,11.63,10.71,1,84
1066,Morona,2018_19,Morona Drill 18_19,Drill,1,21,1,Sherpa,90-60,split,136,538,767,1.91,103,2402,665,0.49,13.24,11.98,1,82
1067,Morona,2018_19,Morona Drill 18_19,Drill,1,22,1,VO38,90-60,split,225,461,976,2,92,2494,752,0.49,13.69,11.8,1,81
1068,Morona,2018_19,Morona Drill 18_19,Drill,1,23,1,Reiziq,0,zero,220,231,426,1.36,31,1281,438,0.48,6.9,7.28,1,75
1069,Morona,2018_19,Morona Drill 18_19,Drill,1,24,1,Sherpa,150-0,PW_2,108,546,774,2.36,129,2547,738,0.46,13.29,10.92,1,86
1070,Morona,2018_19,Morona Drill 18_19,Drill,2,1,2,VO37,90-60,split,166,538,785,2.13,114,2494,796,0.43,12.2,10.07,1,79
1071,Morona,2018_19,Morona Drill 18_19,Drill,2,2,2,Sherpa,150-0,PW_2,86,666,873,2.53,169,2576,621,0.45,13,11.22,2,86
1072,Morona,2018_19,Morona Drill 18_19,Drill,2,3,2,VO38,0,zero,151,289,799,1.56,45,1309,413,0.49,7.21,7.22,1,70
1073,Morona,2018_19,Morona Drill 18_19,Drill,2,4,2,YDP44,90-0,PW_1,151,439,594,2.21,97,1877,656,0.43,9.08,8.03,1,64
1074,Morona,2018_19,Morona Drill 18_19,Drill,2,5,2,Viand,150-0,PW_2,179,606,856,2.34,142,2220,798,0.5,12.43,10.84,5,87
1075,Morona,2018_19,Morona Drill 18_19,Drill,2,6,2,Sherpa,90-60,split,83,492,774,2.07,102,2220,597,0.48,11.92,11.81,2,84
1076,Morona,2018_19,Morona Drill 18_19,Drill,2,7,2,Reiziq,90-0,PW_1,189,547,742,1.92,105,2316,737,0.44,11.62,11.83,1,75
1077,Morona,2018_19,Morona Drill 18_19,Drill,2,8,2,Viand,0,zero,124,378,535,1.4,53,*,*,*,*,*,1,*
1078,Morona,2018_19,Morona Drill 18_19,Drill,2,9,2,VO38,90-60,split,131,548,1291,1.99,109,2285,623,0.5,12.98,12.08,1,77
1079,Morona,2018_19,Morona Drill 18_19,Drill,2,10,2,VO37,90-0,PW_1,153,531,954,1.85,99,2352,640,0.44,11.78,10.48,1,79
1080,Morona,2018_19,Morona Drill 18_19,Drill,2,11,2,Reiziq,0,zero,181,339,544,1.41,48,1197,422,0.47,6.29,8.07,1,75
1081,Morona,2018_19,Morona Drill 18_19,Drill,2,12,2,VO38,150-0,PW_2,154,619,858,2.46,153,2383,778,0.41,11.14,11.83,1,75
1082,Morona,2018_19,Morona Drill 18_19,Drill,2,13,2,VO37,150-0,PW_2,180,594,989,2.21,131,2365,692,0.44,11.71,10.79,1,83
1083,Morona,2018_19,Morona Drill 18_19,Drill,2,14,2,YDP44,90-60,split,248,488,589,1.95,95,1972,534,0.41,9.08,8.67,1,63
1084,Morona,2018_19,Morona Drill 18_19,Drill,2,15,2,Viand,90-0,PW_1,243,563,724,1.74,98,1996,659,0.48,10.87,11.27,3,91
1085,Morona,2018_19,Morona Drill 18_19,Drill,2,16,2,Sherpa,0,zero,173,260,899,1.34,35,1285,409,0.45,6.45,8.46,1,75
1086,Morona,2018_19,Morona Drill 18_19,Drill,2,17,2,Reiziq,150-0,PW_2,239,600,835,2.22,133,2323,674,0.41,10.65,10.66,1,81
1087,Morona,2018_19,Morona Drill 18_19,Drill,2,18,2,Reiziq,90-60,split,235,551,799,1.85,102,2290,731,0.47,12.11,11.16,1,78
1088,Morona,2018_19,Morona Drill 18_19,Drill,2,19,2,YDP44,150-0,PW_2,238,559,953,2.3,129,2087,632,0.39,9.26,8.65,1,64
1089,Morona,2018_19,Morona Drill 18_19,Drill,2,20,2,Viand,90-60,split,264,560,962,1.81,102,2271,741,0.52,13.32,12.31,8,93
1090,Morona,2018_19,Morona Drill 18_19,Drill,2,21,2,YDP44,0,zero,248,235,453,1.47,35,1019,282,0.39,4.44,5.54,1,61
1091,Morona,2018_19,Morona Drill 18_19,Drill,2,22,2,VO37,0,zero,208,260,538,1.27,33,1047,356,0.47,5.58,7.78,1,67
1092,Morona,2018_19,Morona Drill 18_19,Drill,2,23,2,Sherpa,90-0,PW_1,165,459,697,1.71,78,2112,591,0.47,11.14,11.47,1,81
1093,Morona,2018_19,Morona Drill 18_19,Drill,2,24,2,VO38,90-0,PW_1,230,467,696,1.66,77,2059,659,0.47,11,10.86,1,73
1094,Morona,2018_19,Morona Drill 18_19,Drill,3,1,3,VO37,150-0,PW_2,223,627,1343,2.28,143,2386,675,0.37,10.04,9.43,2,83
1095,Morona,2018_19,Morona Drill 18_19,Drill,3,2,3,Reiziq,90-60,split,206,506,987,2.03,103,2370,699,0.46,12.23,10.38,2,81
1096,Morona,2018_19,Morona Drill 18_19,Drill,3,3,3,Sherpa,90-0,PW_1,153,595,1158,2.1,125,2670,752,0.44,13.24,11.24,1,85
1097,Morona,2018_19,Morona Drill 18_19,Drill,3,4,3,VO38,90-60,split,193,578,826,2.04,118,2524,831,0.49,14.09,11.55,1,80
1098,Morona,2018_19,Morona Drill 18_19,Drill,3,5,3,YDP44,0,zero,224,262,448,1.96,51,1308,386,0.42,6.14,6.42,1,64
1099,Morona,2018_19,Morona Drill 18_19,Drill,3,6,3,Reiziq,0,zero,225,331,682,1.67,55,1522,532,0.46,7.92,7.86,1,76
1100,Morona,2018_19,Morona Drill 18_19,Drill,3,7,3,Viand,90-0,PW_1,219,710,954,1.85,131,2105,691,0.5,11.99,9.87,3,91
